"{'x_max' : '49', 'x_min' : '0',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '49', 'x_min' : '0',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '49', 'x_min' : '0',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '49', 'x_min' : '0',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '49', 'x_min' : '0',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '49', 'x_min' : '0',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '49', 'x_min' : '0',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '49', 'x_min' : '0',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '49', 'x_min' : '0',  'y_max' : '499', 'y_min' : '450' }"
"{'x_max' : '99', 'x_min' : '50',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '99', 'x_min' : '50',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '99', 'x_min' : '50',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '99', 'x_min' : '50',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '99', 'x_min' : '50',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '99', 'x_min' : '50',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '99', 'x_min' : '50',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '99', 'x_min' : '50',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '99', 'x_min' : '50',  'y_max' : '499', 'y_min' : '450' }"
"{'x_max' : '149', 'x_min' : '100',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '149', 'x_min' : '100',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '149', 'x_min' : '100',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '149', 'x_min' : '100',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '149', 'x_min' : '100',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '149', 'x_min' : '100',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '149', 'x_min' : '100',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '149', 'x_min' : '100',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '149', 'x_min' : '100',  'y_max' : '499', 'y_min' : '450' }"
"{'x_max' : '199', 'x_min' : '150',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '199', 'x_min' : '150',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '199', 'x_min' : '150',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '199', 'x_min' : '150',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '199', 'x_min' : '150',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '199', 'x_min' : '150',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '199', 'x_min' : '150',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '199', 'x_min' : '150',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '199', 'x_min' : '150',  'y_max' : '499', 'y_min' : '450' }"
"{'x_max' : '249', 'x_min' : '200',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '249', 'x_min' : '200',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '249', 'x_min' : '200',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '249', 'x_min' : '200',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '249', 'x_min' : '200',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '249', 'x_min' : '200',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '249', 'x_min' : '200',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '249', 'x_min' : '200',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '249', 'x_min' : '200',  'y_max' : '499', 'y_min' : '450' }"
"{'x_max' : '299', 'x_min' : '250',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '299', 'x_min' : '250',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '299', 'x_min' : '250',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '299', 'x_min' : '250',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '299', 'x_min' : '250',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '299', 'x_min' : '250',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '299', 'x_min' : '250',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '299', 'x_min' : '250',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '299', 'x_min' : '250',  'y_max' : '499', 'y_min' : '450' }"
"{'x_max' : '349', 'x_min' : '300',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '349', 'x_min' : '300',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '349', 'x_min' : '300',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '349', 'x_min' : '300',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '349', 'x_min' : '300',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '349', 'x_min' : '300',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '349', 'x_min' : '300',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '349', 'x_min' : '300',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '349', 'x_min' : '300',  'y_max' : '499', 'y_min' : '450' }"
"{'x_max' : '399', 'x_min' : '350',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '399', 'x_min' : '350',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '399', 'x_min' : '350',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '399', 'x_min' : '350',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '399', 'x_min' : '350',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '399', 'x_min' : '350',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '399', 'x_min' : '350',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '399', 'x_min' : '350',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '399', 'x_min' : '350',  'y_max' : '499', 'y_min' : '450' }"
"{'x_max' : '449', 'x_min' : '400',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '449', 'x_min' : '400',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '449', 'x_min' : '400',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '449', 'x_min' : '400',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '449', 'x_min' : '400',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '449', 'x_min' : '400',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '449', 'x_min' : '400',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '449', 'x_min' : '400',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '449', 'x_min' : '400',  'y_max' : '499', 'y_min' : '450' }"
"{'x_max' : '499', 'x_min' : '450',  'y_max' : '99', 'y_min' : '50' }","{'x_max' : '499', 'x_min' : '450',  'y_max' : '149', 'y_min' : '100' }","{'x_max' : '499', 'x_min' : '450',  'y_max' : '199', 'y_min' : '150' }","{'x_max' : '499', 'x_min' : '450',  'y_max' : '249', 'y_min' : '200' }","{'x_max' : '499', 'x_min' : '450',  'y_max' : '299', 'y_min' : '250' }","{'x_max' : '499', 'x_min' : '450',  'y_max' : '349', 'y_min' : '300' }","{'x_max' : '499', 'x_min' : '450',  'y_max' : '399', 'y_min' : '350' }","{'x_max' : '499', 'x_min' : '450',  'y_max' : '449', 'y_min' : '400' }","{'x_max' : '499', 'x_min' : '450',  'y_max' : '499', 'y_min' : '450' }"
